betriebstag;linie_railml;zugnummer;bhf;planzeit_an;planzeit_ab;ibnr;bhflang;x_koord;y_koord;betriebstag_vorher;linie_railml_vorher;zugnummer_vorher;bhf_vorher;planzeit_an_vorher;planzeit_ab_vorher;ibnr_vorher;bhflang_vorher;x_koord_vorher;y_koord_vorher;fahrtzeit_ersatzbus;Linienverlauf
2023-01-24;DLr;29703.0;FMZ;;05:27:00;8000240.0;Mainz Hbf;8.25965;50.00225;;;;;;;;;;;;
2023-01-24;DLr;29703.0;FOPP;05:47:00;;8004680.0;Oppenheim;8.35942;49.85894;2023-01-24;DLr;29703.0;FMZ;;05:27:00;8000240.0;Mainz Hbf;8.25965;50.00225;0 days 00:29:00;_aepHyelq@XRf@w@x@q@b@HDMDUHmDBWH_@uBgA|A{Gz@aD`AmGPs@hDaHpD_Ih@aA|@qALMJ@HEr@o@r@cCd@mA\]`@QjD}@v@u@Zw@XcBz@_D^gAD[IuA_@uCCuADi@Pi@tBkCrByDXs@Nk@PiAFqA?c@Ck@Qy@aCsGfAqArByBpC}BpBsADIJgAPiEL}AT_B|Hw^v@mCzCoJxByGl@_Br@cBpB_E|GoMrCsGhAmClAaCxD{KjDaIvD_HbQaXh@u@lBuBbAcAtAgAbBgAhBaAjAi@d@O~C]zA@jATfFvAnDt@vAP`BBdAGf@IdB_@n@WnAq@|AmAfAiAhA}A~@cBhAuCp@{Br@mD^cDNuBRcITsFLeBV{B^{B^{A`A_DZq@r@yAn@eAxAqBxA_BvAwAzDaDd{@iq@xG}ExGcE`G{ClCeAdBm@hCq@lAWhCa@tBUjBKfDIjC?rJLvG?nCKxCWhDe@nE{@vu@uQhQwEdFyAdDqAXUhEeApLgCp[eGnCYlBIbA?dCHnCZdHrApCb@zNfAdBXnBd@jA^zHzCtCv@vATxANzFXh@JzANp@RpCvArQlNrBbAxCfAnm@hKtGx@xIf@jDH~BMzDg@zE{@`Be@xUuJvAqAlFwAfCWfAe@dAYxGuAf@Qz@m@vAsA\a@bCuDlK_QlCeEj@w@n@s@|D}Cv@g@h@O|B]NIxDmEzCuDZg@H[`@cCPi@L[nEaG~BsCt@u@jAy@`UcMrDeB{@qFg@mCcA`AIP
2023-01-24;DLr;29712.0;FW;;07:55:00;8000250.0;Wiesbaden Hbf;8.24465;50.07194;;;;;;;;;;;;
2023-01-24;DLr;29712.0;FMZ;08:04:00;;8000240.0;Mainz Hbf;8.25965;50.00225;2023-01-24;DLr;29712.0;FW;;07:55:00;8000250.0;Wiesbaden Hbf;8.24465;50.07194;0 days 00:18:00;{trpHqfiq@j@X`@vSL~@Nb@FHPHdCp@zAXhABh@E`Cq@hZcFzXkErPoCxFcAbDe@h@Cf@BbATtBn@tClAzZ`JlAXlALpAAZaENqATsAlAcGfAoDxGaQhDoJzBsFhBsCrMaTj@aAbAmBdA{Ab@c@fBsAfLyGrNuIvG{DpKwG|QyKjEaDpGgFfTkQvF{FxYc[zEwEdEyDjMyKZMRCV@bBTl@NlB@d@GbBe@bEkBrCm@`@Od@DTHVRZd@bOnf@Bj@Ap@I\WZiCvBu@j@Ob@AR@THPtA`BPJl@z@zUxZfIhKVt@H`@B^EvEOfHC`@m@_@{CuAI\CXExCALQRYLy@p@g@v@YS
2023-01-24;DLr;29716.0;FF;;08:59:00;8000105.0;Frankfurt(Main)Hbf;8.66477;50.10829;;;;;;;;;;;;
2023-01-24;DLr;29716.0;FGM;09:04:00;;8002046.0;Frankfurt-Griesheim;8.60712;50.09545;2023-01-24;DLr;29716.0;FF;;08:59:00;8000105.0;Frankfurt(Main)Hbf;8.66477;50.10829;0 days 00:09:00;qxypHai{s@j@tBs@jEkD`Kq@tAT~@bBbGvA~D~\bkA~A`IVlAJPvAfBdYxaAd@nAf@fA|DpJxDlKvChJ~BxINr@NjADdA?nL?b@I|@Qz@Qb@]h@WTa@T_DtAUPY\KRYp@Mr@Er@CrBAvODbGC~A?xABjA?jMEz@?p@DnA?xL|E[
2023-01-24;DLr;29733.0;FKIR;;23:23:00;8000652.0;Kirchheimbolanden;8.02307;49.66672;;;;;;;;;;;;
2023-01-24;DLr;29733.0;FALZ;23:32:00;;8000007.0;Alzey;8.10861;49.75168;2023-01-24;DLr;29733.0;FKIR;;23:23:00;8000652.0;Kirchheimbolanden;8.02307;49.66672;0 days 00:20:00;eqcnHq_~o@_D~@kE`Ad@lENx@A|@ERKPm@^iBDoI`@{BVuBd@gA\wBlAuAfA_BzAYZaB~B}@|AoEnJo@dA}@jBKFSAKHENAP@TEXm@pAUx@sErJaB~CiCvDwB|B}AnAuBnAy@\gBl@k@JwBVoAFcB?mBOcCi@aBk@qAo@gAu@oB_BwCeDsBwCgBoCmBgD}BkEiEiJaB_EgDiJwDuLyD_MoIwYsDwJkE{HcFmHyCyEcCgFmAcDeAsD}@aEgG{\qA{FsI{XqKe\eIoWeBgFa]mfAc@iAg@aA_AwA}@aAiEmDwA}Aw@kAq@yAs@{Ba@sBWoBMyBScII_BKaBK_AM{@[yAiA}DqAcEy`@moAuJqZe@kAcBoC}B_DoFyGqXo]eCeD}CkDiCmCaGwFyG{GqFmFw@{@iByC_@e@YSoCiAwA{@qAm@eEsAa@a@AYGQIGS@GFGTgA^YCIHGLEPRnCRbE\zIdAhIB\ARIVMNeElCk@XKLEH?^f@vBuGnEc@T]A{@Oy@Qo@UgAaAaBkBaKuMeGuHO^OFKCa@g@
2023-01-24;DLr;29736.0;FALZ;;05:00:00;8000007.0;Alzey;8.10861;49.75168;;;;;;;;;;;;
2023-01-24;DLr;29736.0;FKIR;05:12:00;;8000652.0;Kirchheimbolanden;8.02307;49.66672;2023-01-24;DLr;29736.0;FALZ;;05:00:00;8000007.0;Alzey;8.10861;49.75168;0 days 00:20:00;g|snHubop@`@f@JBNGN_@dGtH`KtM`BjBfA`An@Tx@Pz@N\@b@UtGoEg@wB?_@DIJMj@YdEmCLOHW@SC]eAiI]{IScESoCDQFMHIz@Hf@CDHNJHANMfCr@dBl@pAl@vAz@nChAXR^d@hBxCv@z@pFlFxGzG`GvFhClC|CjDdCdDpXn]nFxG|B~CbBnCd@jAtJpZx`@loApAbEhA|DZxALz@J~@J`BH~ARbILxBVnB`@rBr@zBp@xAv@jAvA|AhElD|@`A~@vAf@`Ab@hA`]lfAdBfFdInWpKd\rIzXpAzFfGz\|@`EdArDlAbDbCfFxCxEbFlHjEzHrDvJnIvYxD~LvDtLfDhJ`B~DhEhJ|BjElBfDfBnCrBvCvCdDnB~AfAt@pAn@`Bj@bCh@lBNbB?nAGvBWj@KfBm@x@]tBoA|AoAvB}BhCwD`B_DrEsJ\k@p@wALKREHKBO?YDS|@mBd@qAnEoJ|@}A`B_CX[~A{AtAgAvBmAfA]tBe@zBWnIa@vDI@JJRPDJEHMBQ?OCOGKIEKAIDYqAOy@e@mEjEaA~C_A
2023-01-24;DLr E;76646.0;SSH;;05:52:00;8000323.0;Saarbrücken Hbf;6.99177;49.24212;;;;;;;;;;;;
